area,header,class,method,method_line,method_static,triage,priority,signature,note
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,findParagraph,16,no,na,P3,bool findParagraph(ParagraphImpl* paragraph);,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,setChecker,16,no,na,P3,"void setChecker(std::function<void(ParagraphImpl* impl, const char*, bool)> checker) { fChecker = std::move(checker); }",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,printStatistics,16,no,na,P3,void printStatistics();,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,turnOn,16,no,na,P3,void turnOn(bool value) { fCacheIsOn = value; },Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,count,16,no,na,P3,int count() { return fLRUCacheMap.count(); },Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,isPossiblyTextEditing,16,no,na,P3,bool isPossiblyTextEditing(ParagraphImpl* paragraph);,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,~ParagraphPainter,40,no,false_positive,P0,virtual ~ParagraphPainter() = default;,destructor/lifetime should be represented by wrapper release/delete API
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawTextBlob,40,no,na,P3,"virtual void drawTextBlob(const sk_sp<SkTextBlob>& blob, SkScalar x, SkScalar y, const SkPaintOrID& paint) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawTextShadow,40,no,na,P3,"virtual void drawTextShadow(const sk_sp<SkTextBlob>& blob, SkScalar x, SkScalar y, SkColor color, SkScalar blurSigma) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawRect,40,no,na,P3,"virtual void drawRect(const SkRect& rect, const SkPaintOrID& paint) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawFilledRect,40,no,na,P3,"virtual void drawFilledRect(const SkRect& rect, const DecorationStyle& decorStyle) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawPath,40,no,na,P3,"virtual void drawPath(const SkPath& path, const DecorationStyle& decorStyle) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawLine,40,no,na,P3,"virtual void drawLine(SkScalar x0, SkScalar y0, SkScalar x1, SkScalar y1, const DecorationStyle& decorStyle) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,clipRect,40,no,na,P3,virtual void clipRect(const SkRect& rect) = 0;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,translate,40,no,na,P3,"virtual void translate(SkScalar dx, SkScalar dy) = 0;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,save,40,no,na,P3,virtual void save() = 0;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,restore,40,no,na,P3,virtual void restore() = 0;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TextShadow.h,TextShadow,TextShadow,10,no,real_gap,P2,TextShadow();,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextShadow.h,TextShadow,TextShadow,10,no,real_gap,P2,"TextShadow(SkColor color, SkPoint offset, double blurSigma);",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextShadow.h,TextShadow,operator!=,10,no,false_positive,P0,bool operator!=(const TextShadow& other) const;,C++ operator convenience should not be exposed directly; add named helper only if a concrete need appears
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Decoration,operator==,67,no,false_positive,P0,bool operator==(const Decoration& other) const { return this->fType == other.fType && this->fMode == other.fMode && this->fColor == other.fColor && this->fStyle == other.fStyle && this->fThicknessMultiplier == other.fThicknessMultiplier; },C++ operator convenience should not be exposed directly; add named helper only if a concrete need appears
modules/skparagraph,modules/skparagraph/include/TextStyle.h,FontFeature,FontFeature,112,no,real_gap,P2,"FontFeature(SkString name, int value) : fName(std::move(name)), fValue(value) {}",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,FontFeature,operator==,112,no,false_positive,P0,bool operator==(const FontFeature& that) const { return fName == that.fName && fValue == that.fValue; },C++ operator convenience should not be exposed directly; add named helper only if a concrete need appears
modules/skparagraph,modules/skparagraph/include/TextStyle.h,PlaceholderStyle,PlaceholderStyle,121,no,real_gap,P2,PlaceholderStyle() = default;,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,PlaceholderStyle,PlaceholderStyle,121,no,real_gap,P2,"PlaceholderStyle(SkScalar width, SkScalar height, PlaceholderAlignment alignment, TextBaseline baseline, SkScalar offset) : fWidth(width) , fHeight(height) , fAlignment(alignment) , fBaseline(baseline) , fBaselineOffset(offset) {}",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,PlaceholderStyle,equals,121,no,real_gap,P2,bool equals(const PlaceholderStyle&) const;,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,getForegroundPaintOrID,148,no,real_gap,P1,ParagraphPainter::SkPaintOrID getForegroundPaintOrID() const { return fForeground; },Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,setForegroundPaintID,148,no,real_gap,P1,void setForegroundPaintID(ParagraphPainter::PaintID paintID) { fHasForeground = true; fForeground = paintID; },Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,getBackgroundPaintOrID,148,no,real_gap,P1,ParagraphPainter::SkPaintOrID getBackgroundPaintOrID() const { return fBackground; },Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TextStyle.h,TextStyle,setBackgroundPaintID,148,no,real_gap,P1,void setBackgroundPaintID(ParagraphPainter::PaintID paintID) { fHasBackground = true; fBackground = paintID; },Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,Block,337,no,real_gap,P2,Block() = default;,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,Block,337,no,real_gap,P2,"Block(size_t start, size_t end, const TextStyle& style) : fRange(start, end), fStyle(style) {}",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,Block,337,no,real_gap,P2,"Block(TextRange textRange, const TextStyle& style) : fRange(textRange), fStyle(style) {}",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Block,add,337,no,na,P3,"void add(TextRange tail) { SkASSERT(fRange.end == tail.start); fRange = TextRange(fRange.start, fRange.start + fRange.width() + tail.width()); }",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Placeholder,Placeholder,357,no,real_gap,P2,Placeholder() = default;,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TextStyle.h,Placeholder,Placeholder,357,no,real_gap,P2,"Placeholder(size_t start, size_t end, const PlaceholderStyle& style, const TextStyle& textStyle, BlockRange blocksBefore, TextRange textBefore) : fRange(start, end) , fStyle(style) , fTextStyle(textStyle) , fBlocksBefore(blocksBefore) , fTe",Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,TypefaceFontStyleSet,17,no,real_gap,P2,explicit TypefaceFontStyleSet(const SkString& familyName);,Phase 4: paragraph value struct/helper API needed for layout results and builder inputs
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,count,17,no,na,P3,int count() override;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,getStyle,17,no,na,P3,"void getStyle(int index, SkFontStyle*, SkString* name) override;",Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,createTypeface,17,no,na,P3,sk_sp<SkTypeface> createTypeface(int index) override;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,matchStyle,17,no,na,P3,sk_sp<SkTypeface> matchStyle(const SkFontStyle& pattern) override;,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,getFamilyName,17,no,na,P3,SkString getFamilyName() const { return fFamilyName; },Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,getAlias,17,no,na,P3,SkString getAlias() const { return fAlias; },Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontStyleSet,appendTypeface,17,no,na,P3,void appendTypeface(sk_sp<SkTypeface> typeface);,Phase 4 later/internal or extension surface; not needed for the first paragraph C API path
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,registerTypeface,36,no,real_gap,P2,size_t registerTypeface(sk_sp<SkTypeface> typeface);,Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,registerTypeface,36,no,real_gap,P2,"size_t registerTypeface(sk_sp<SkTypeface> typeface, const SkString& alias);",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onCountFamilies,36,no,real_gap,P2,int onCountFamilies() const override;,Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onGetFamilyName,36,no,real_gap,P2,"void onGetFamilyName(int index, SkString* familyName) const override;",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMatchFamily,36,no,real_gap,P2,sk_sp<SkFontStyleSet> onMatchFamily(const char familyName[]) const override;,Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onCreateStyleSet,36,no,real_gap,P2,sk_sp<SkFontStyleSet> onCreateStyleSet(int) const override { return nullptr; },Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMatchFamilyStyle,36,no,real_gap,P2,"sk_sp<SkTypeface> onMatchFamilyStyle(const char[], const SkFontStyle&) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMatchFamilyStyleCharacter,36,no,real_gap,P2,"sk_sp<SkTypeface> onMatchFamilyStyleCharacter(const char[], const SkFontStyle&, const char*[], int, SkUnichar) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMakeFromData,36,no,real_gap,P2,"sk_sp<SkTypeface> onMakeFromData(sk_sp<SkData>, int) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMakeFromStreamIndex,36,no,real_gap,P2,"sk_sp<SkTypeface> onMakeFromStreamIndex(std::unique_ptr<SkStreamAsset>, int) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMakeFromStreamArgs,36,no,real_gap,P2,"sk_sp<SkTypeface> onMakeFromStreamArgs(std::unique_ptr<SkStreamAsset>, const SkFontArguments&) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onMakeFromFile,36,no,real_gap,P2,"sk_sp<SkTypeface> onMakeFromFile(const char[], int) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skparagraph,modules/skparagraph/include/TypefaceFontProvider.h,TypefaceFontProvider,onLegacyMakeTypeface,36,no,real_gap,P2,"sk_sp<SkTypeface> onLegacyMakeTypeface(const char[], SkFontStyle) const override { return nullptr; }",Phase 4: primary paragraph C API surface; requires string/vector/paint ownership rules
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakePrimitive,34,yes,real_gap,P2,static std::unique_ptr<SkShaper> MakePrimitive();,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeShaperDrivenWrapper,34,yes,real_gap,P2,static std::unique_ptr<SkShaper> MakeShaperDrivenWrapper(sk_sp<SkFontMgr> = nullptr);,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeShapeThenWrap,34,yes,real_gap,P2,static std::unique_ptr<SkShaper> MakeShapeThenWrap(sk_sp<SkFontMgr> = nullptr);,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeShapeDontWrapOrReorder,34,yes,real_gap,P2,"static std::unique_ptr<SkShaper> MakeShapeDontWrapOrReorder(std::unique_ptr<SkUnicode> unicode, sk_sp<SkFontMgr> = nullptr);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,PurgeHarfBuzzCache,34,yes,real_gap,P2,static void PurgeHarfBuzzCache();,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeCoreText,34,yes,real_gap,P2,static std::unique_ptr<SkShaper> MakeCoreText();,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,Make,34,yes,real_gap,P2,static std::unique_ptr<SkShaper> Make(sk_sp<SkFontMgr> = nullptr);,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,PurgeCaches,34,yes,real_gap,P2,static void PurgeCaches();,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,SkShaper,34,no,real_gap,P2,SkShaper();,Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,~SkShaper,34,no,false_positive,P0,virtual ~SkShaper();,destructor/lifetime should be represented by wrapper release/delete API
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeFontMgrRunIterator,102,yes,real_gap,P2,"static std::unique_ptr<FontRunIterator> MakeFontMgrRunIterator(const char* utf8, size_t utf8Bytes, const SkFont& font, sk_sp<SkFontMgr> fallback);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeFontMgrRunIterator,102,yes,real_gap,P2,"static std::unique_ptr<SkShaper::FontRunIterator> MakeFontMgrRunIterator(const char* utf8, size_t utf8Bytes, const SkFont& font, sk_sp<SkFontMgr> fallback, const char* requestName, SkFontStyle requestStyle, const SkShaper::LanguageRunIterat",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeBiDiRunIterator,120,yes,real_gap,P2,"static std::unique_ptr<BiDiRunIterator> MakeBiDiRunIterator(const char* utf8, size_t utf8Bytes, uint8_t bidiLevel);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeSkUnicodeBidiRunIterator,120,yes,real_gap,P2,"static std::unique_ptr<BiDiRunIterator> MakeSkUnicodeBidiRunIterator(SkUnicode* unicode, const char* utf8, size_t utf8Bytes, uint8_t bidiLevel);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeIcuBiDiRunIterator,120,yes,real_gap,P2,"static std::unique_ptr<BiDiRunIterator> MakeIcuBiDiRunIterator(const char* utf8, size_t utf8Bytes, uint8_t bidiLevel);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeScriptRunIterator,137,yes,real_gap,P2,"static std::unique_ptr<ScriptRunIterator> MakeScriptRunIterator(const char* utf8, size_t utf8Bytes, SkFourByteTag script);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeSkUnicodeHbScriptRunIterator,137,yes,real_gap,P2,"static std::unique_ptr<ScriptRunIterator> MakeSkUnicodeHbScriptRunIterator(const char* utf8, size_t utf8Bytes);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeSkUnicodeHbScriptRunIterator,137,yes,real_gap,P2,"static std::unique_ptr<ScriptRunIterator> MakeSkUnicodeHbScriptRunIterator(const char* utf8, size_t utf8Bytes, SkFourByteTag script);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeHbIcuScriptRunIterator,137,yes,real_gap,P2,"static std::unique_ptr<ScriptRunIterator> MakeHbIcuScriptRunIterator(const char* utf8, size_t utf8Bytes);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,MakeStdLanguageRunIterator,157,yes,real_gap,P2,"static std::unique_ptr<LanguageRunIterator> MakeStdLanguageRunIterator(const char* utf8, size_t utf8Bytes);",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,shape,218,no,real_gap,P2,"virtual void shape(const char* utf8, size_t utf8Bytes, const SkFont& srcFont, bool leftToRight, SkScalar width, RunHandler*) const = 0;",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,shape,218,no,real_gap,P2,"virtual void shape(const char* utf8, size_t utf8Bytes, FontRunIterator&, BiDiRunIterator&, ScriptRunIterator&, LanguageRunIterator&, SkScalar width, RunHandler*) const = 0;",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skshaper,modules/skshaper/include/SkShaper.h,SkShaper,shape,218,no,real_gap,P2,"virtual void shape(const char* utf8, size_t utf8Bytes, FontRunIterator&, BiDiRunIterator&, ScriptRunIterator&, LanguageRunIterator&, const Feature* features, size_t featuresSize, SkScalar width, RunHandler*) const = 0;",Phase 4: shaper factories/iterators should be exposed behind HarfBuzz/CoreText/skunicode feature guards
modules/skunicode,modules/skunicode/include/SkUnicode.h,SkUnicode,extractBidi,113,yes,real_gap,P2,"static bool extractBidi(const char utf8[], int utf8Units, TextDirection dir, std::vector<BidiRegion>* bidiRegions);",Phase 4: SkUnicode factory/query/conversion API is a prerequisite for paragraph/shaper bindings
modules/skunicode,modules/skunicode/include/SkUnicode.h,SkUnicode,MakeIcuBasedUnicode,113,yes,real_gap,P1,static std::unique_ptr<SkUnicode> MakeIcuBasedUnicode();,Phase 4: SkUnicode factory/query/conversion API is a prerequisite for paragraph/shaper bindings
modules/skunicode,modules/skunicode/include/SkUnicode.h,SkUnicode,MakeClientBasedUnicode,113,yes,real_gap,P1,"static std::unique_ptr<SkUnicode> MakeClientBasedUnicode( SkSpan<char> text, std::vector<SkUnicode::Position> words, std::vector<SkUnicode::Position> graphemeBreaks, std::vector<SkUnicode::LineBreakBefore> lineBreaks);",Phase 4: SkUnicode factory/query/conversion API is a prerequisite for paragraph/shaper bindings
modules/skunicode,modules/skunicode/include/SkUnicode.h,SkUnicode,MakeLibgraphemeBasedUnicode,113,yes,real_gap,P1,static std::unique_ptr<SkUnicode> MakeLibgraphemeBasedUnicode();,Phase 4: SkUnicode factory/query/conversion API is a prerequisite for paragraph/shaper bindings
modules/skunicode,modules/skunicode/include/SkUnicode.h,SkUnicode,MakeIcu4xBasedUnicode,113,yes,real_gap,P1,static std::unique_ptr<SkUnicode> MakeIcu4xBasedUnicode();,Phase 4: SkUnicode factory/query/conversion API is a prerequisite for paragraph/shaper bindings
