file,status,phase,owner,note
skia/capi/sk_color_info.cpp,done,P2,Phase 2 Batch K: NULL guards and color space handle rules,
skia/capi/sk_color_info.h,done,P2,Phase 2 Batch K: borrowed/ref color space comments,
skia/capi/sk_color_matrix.cpp,done,P2,codex,phase2-batch-n: NULL guards for mutation and rowMajor arrays,
skia/capi/sk_color_matrix.h,done,P2,codex,phase2-batch-n: rowMajor raw array comments,
skia/capi/sk_color_matrix_filter.cpp,done,P2,codex,phase2-batch-o: NULL guards and null handle rules,
skia/capi/sk_color_matrix_filter.h,done,P2,codex,phase2-batch-o: inherited filter/serialize/factory pointer rules,
skia/capi/sk_color_priv.cpp,done,P2,codex,phase2-batch-p: value-only helpers reviewed,
skia/capi/sk_color_priv.h,done,P2,codex,phase2-batch-p: U8CPU channel comment,
skia/capi/sk_color_space.cpp,done,P2,Phase 2 Batch K: NULL guards and raw buffer/output rules,
skia/capi/sk_color_space.h,done,P2,Phase 2 Batch K: output pointer and serialized buffer comments,
skia/capi/sk_color_space_primaries.cpp,done,P2,Phase 2 Batch K: NULL guards,
skia/capi/sk_color_space_primaries.h,done,P2,Phase 2 Batch K: output matrix comment,
skia/capi/sk_color_table.cpp,done,P2,codex,phase2-batch-s: NULL guards and null color-table handle rules,
skia/capi/sk_color_table.h,done,P2,codex,phase2-batch-s: borrowed table and nullable identity comments,
skia/capi/sk_contour_measure.cpp,done,P2,codex,phase2-batch-q: NULL guards for contour query/output APIs,
skia/capi/sk_contour_measure.h,done,P2,codex,phase2-batch-q: output pointer and refcount comments,
skia/capi/sk_contour_measure_iter.cpp,done,P2,codex,phase2-batch-q: NULL path guard and null handle rules,
skia/capi/sk_contour_measure_iter.h,done,P2,codex,phase2-batch-q: iterator path/next NULL rules,
skia/capi/sk_corner_path_effect.cpp,done,P2,codex,phase2-batch-l: null sk_sp handle 規約と NULL delete no-op を補強
skia/capi/sk_corner_path_effect.h,done,P2,codex,phase2-batch-l: factory の生成不能時 0 規約を明記
skia/capi/sk_cubic_map.cpp,todo,P2,,
skia/capi/sk_cubic_map.h,todo,P2,,
skia/capi/sk_cubic_resampler.cpp,todo,P2,,
skia/capi/sk_cubic_resampler.h,todo,P2,,
skia/capi/sk_dash_path_effect.cpp,done,P2,codex,phase2-batch-l: intervals NULL ガードと null sk_sp handle 規約を補強
skia/capi/sk_dash_path_effect.h,done,P2,codex,phase2-batch-l: intervals raw array 規約を明記
skia/capi/sk_data.cpp,done,P2,codex,phase2-batch-g: SkData NULL ガードと zero-length raw pointer 規約を補強
skia/capi/sk_data.h,done,P2,codex,phase2-batch-g: SkData raw buffer/lifetime/ownership コメントを補強
skia/capi/sk_data_table.cpp,done,P2,codex,phase2-batch-r: NULL guards and raw table input rules,
skia/capi/sk_data_table.h,done,P2,codex,phase2-batch-r: borrowed entry and factory array comments,
skia/capi/sk_discrete_path_effect.cpp,done,P2,codex,phase2-batch-l: null sk_sp handle 規約を補強
skia/capi/sk_discrete_path_effect.h,done,P2,codex,phase2-batch-l: factory の生成不能時 0 規約を明記
skia/capi/sk_document.cpp,todo,P2,,
skia/capi/sk_document.h,todo,P2,,
skia/capi/sk_drawable.cpp,todo,P2,,
skia/capi/sk_drawable.h,todo,P2,,
skia/capi/sk_dynamic_memory_w_stream.cpp,done,P2,codex,phase2-batch-i: SkDynamicMemoryWStream NULL ガードと write/read/copy buffer 規約を補強
skia/capi/sk_dynamic_memory_w_stream.h,done,P2,codex,phase2-batch-i: SkDynamicMemoryWStream raw buffer/stream transfer コメントを補強
skia/capi/sk_encoded_origin.cpp,todo,P2,,
skia/capi/sk_encoded_origin.h,todo,P2,,
skia/capi/sk_encoder.cpp,todo,P2,,
skia/capi/sk_encoder.h,todo,P2,,
skia/capi/sk_executor.cpp,done,P2,codex,step4: SkExecutor_add を reskia_status_t 戻り値 + function_void_void_t key に統一
skia/capi/sk_executor.h,done,P2,codex,step4: SkExecutor_add を reskia_status_t 戻り値 + function_void_void_t key に統一
skia/capi/sk_file_stream.cpp,todo,P2,,
skia/capi/sk_file_stream.h,todo,P2,,
skia/capi/sk_file_w_stream.cpp,todo,P2,,
skia/capi/sk_file_w_stream.h,todo,P2,,
skia/capi/sk_flattenable.cpp,todo,P2,,
skia/capi/sk_flattenable.h,todo,P2,,
skia/capi/sk_font.cpp,todo,P2,,
skia/capi/sk_font.h,todo,P2,,
skia/capi/sk_font_arguments.cpp,todo,P2,,
skia/capi/sk_font_arguments.h,todo,P2,,
skia/capi/sk_font_metrics.cpp,todo,P2,,
skia/capi/sk_font_metrics.h,todo,P2,,
skia/capi/sk_font_mgr.cpp,done,P2,codex,step4: createStyleSet/matchFamily を reskia_status_t + out pointer 規約へ統一（phase1 step2 実施済み）
skia/capi/sk_font_mgr.h,done,P2,codex,step4: createStyleSet/matchFamily を reskia_status_t + out pointer 規約へ統一
skia/capi/sk_font_mgr_fontconfig.cpp,todo,P2,,
skia/capi/sk_font_mgr_fontconfig.h,todo,P2,,
skia/capi/sk_font_style.cpp,todo,P2,,
skia/capi/sk_font_style.h,todo,P2,,
skia/capi/sk_font_style_set.cpp,todo,P2,,
skia/capi/sk_font_style_set.h,todo,P2,,
skia/capi/sk_gif_decoder.cpp,todo,P2,,
skia/capi/sk_gif_decoder.h,todo,P2,,
skia/capi/sk_gradient_shader.cpp,todo,P2,,
skia/capi/sk_gradient_shader.h,todo,P2,,
skia/capi/sk_graphics.cpp,todo,P2,,
skia/capi/sk_graphics.h,todo,P2,,
skia/capi/sk_high_contrast_config.cpp,todo,P2,,
skia/capi/sk_high_contrast_config.h,todo,P2,,
skia/capi/sk_high_contrast_filter.cpp,done,P2,codex,step5: RefCounted delete を unref 委譲へ統一
skia/capi/sk_high_contrast_filter.h,done,P2,codex,step5: RefCounted delete 規約確認（実装 unref 化）
skia/capi/sk_i_point.cpp,done,P2,codex,step5: non-ref型 delete 維持、delete static_cast を除去
skia/capi/sk_i_point.h,done,P2,codex,step5: non-ref型 delete 規約確認（実装側 cast 修正）
skia/capi/sk_i_rect.cpp,todo,P2,,
skia/capi/sk_i_rect.h,todo,P2,,
skia/capi/sk_i_size.cpp,todo,P2,,
skia/capi/sk_i_size.h,todo,P2,,
skia/capi/sk_icc.cpp,todo,P2,,
skia/capi/sk_icc.h,todo,P2,,
skia/capi/sk_ico_decoder.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_ico_decoder.h,todo,P2,,
skia/capi/sk_image.cpp,done,P2,codex,stability Phase 2 Batch A: image C API implementation reviewed; null inputs now fail as no-op/false/0/nullptr and async callback keeps borrowed-result policy
skia/capi/sk_image.h,done,P2,codex,stability Phase 2 Batch A: image C API ownership/lifetime reviewed; header already uses typed handles/opaque pointers with retained/owned/borrowed comments for key APIs
skia/capi/sk_image_filter.cpp,todo,P2,,
skia/capi/sk_image_filter.h,todo,P2,,
skia/capi/sk_image_filters.cpp,todo,P2,,
skia/capi/sk_image_filters.h,todo,P2,,
skia/capi/sk_image_generator.cpp,todo,P2,,
skia/capi/sk_image_generator.h,todo,P2,,
skia/capi/sk_image_info.cpp,done,P2,codex,phase2-batch-f: SkImageInfo NULL ガードと byte-size/color-space 規約を補強
skia/capi/sk_image_info.h,done,P2,codex,phase2-batch-f: SkImageInfo borrowed color space と rowBytes/byte-size コメントを補強
skia/capi/sk_images.cpp,done,P2,codex,step4: SkImages_MakeWithFilter を reskia_status_t + typed out pointer 規約へ統一（phase1 step2 実施済み）
skia/capi/sk_images.h,done,P2,codex,step4: SkImages_MakeWithFilter を reskia_status_t + typed out pointer 規約へ統一
skia/capi/sk_jpeg_decoder.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_jpeg_decoder.h,todo,P2,,
skia/capi/sk_jpeg_encoder.cpp,todo,P2,,
skia/capi/sk_jpeg_encoder.h,todo,P2,,
skia/capi/sk_jpegxl_decoder.cpp,todo,P2,,
skia/capi/sk_jpegxl_decoder.h,todo,P2,,
skia/capi/sk_line_2d_path_effect.cpp,done,P2,codex,phase2-batch-l: matrix NULL ガードと null sk_sp handle 規約を補強
skia/capi/sk_line_2d_path_effect.h,done,P2,codex,phase2-batch-l: matrix 非 NULL 規約を明記
skia/capi/sk_luma_color_filter.cpp,done,P2,codex,step5: RefCounted delete を unref 委譲へ統一
skia/capi/sk_luma_color_filter.h,done,P2,codex,step5: RefCounted delete 規約確認（実装 unref 化）
skia/capi/sk_m_44.cpp,todo,P2,,
skia/capi/sk_m_44.h,todo,P2,,
skia/capi/sk_malloc_pixel_ref.cpp,todo,P2,,
skia/capi/sk_malloc_pixel_ref.h,todo,P2,,
skia/capi/sk_mask.cpp,todo,P2,,
skia/capi/sk_mask.h,todo,P2,,
skia/capi/sk_mask_builder.cpp,todo,P2,,
skia/capi/sk_mask_builder.h,todo,P2,,
skia/capi/sk_mask_filter.cpp,todo,P2,,
skia/capi/sk_mask_filter.h,todo,P2,,
skia/capi/sk_matrix.cpp,todo,P2,,
skia/capi/sk_matrix.h,todo,P2,,
skia/capi/sk_memory_stream.cpp,done,P2,codex,phase2-batch-h: SkMemoryStream NULL ガードと read/peek/raw buffer 規約を補強
skia/capi/sk_memory_stream.h,done,P2,codex,phase2-batch-h: SkMemoryStream borrowed memory と direct/copy lifetime コメントを補強
skia/capi/sk_mesh.cpp,todo,P2,,
skia/capi/sk_mesh.h,todo,P2,,
skia/capi/sk_mesh_specification.cpp,todo,P2,,
skia/capi/sk_mesh_specification.h,todo,P2,,
skia/capi/sk_meshes.cpp,todo,P2,,
skia/capi/sk_meshes.h,todo,P2,,
skia/capi/sk_op_builder.cpp,todo,P2,,
skia/capi/sk_op_builder.h,todo,P2,,
skia/capi/sk_open_type_svg_decoder.cpp,todo,P2,,
skia/capi/sk_open_type_svg_decoder.h,todo,P2,,
skia/capi/sk_overdraw_canvas.cpp,todo,P2,,
skia/capi/sk_overdraw_canvas.h,todo,P2,,
skia/capi/sk_overdraw_color_filter.cpp,done,P2,codex,step5: RefCounted delete を unref 委譲へ統一
skia/capi/sk_overdraw_color_filter.h,done,P2,codex,step5: RefCounted delete 規約確認（実装 unref 化）
skia/capi/sk_paint.cpp,done,P2,codex,phase2-batch-d: SkPaint NULL ガードと borrowed/ref handle 規約を補強
skia/capi/sk_paint.h,done,P2,codex,phase2-batch-d: SkPaint pointer/handle コメントと NULL 規約を補強
skia/capi/sk_path.cpp,done,P2,codex,step4+phase2-batch-c: SkPath_interpolate status 規約に加えて NULL ガードを横展開
skia/capi/sk_path.h,done,P2,codex,step4+phase2-batch-c: SkPath raw buffer/list コメントと NULL 規約を補強
skia/capi/sk_path_1d_path_effect.cpp,done,P2,codex,phase2-batch-l: path NULL ガードと null sk_sp handle 規約を補強
skia/capi/sk_path_1d_path_effect.h,done,P2,codex,phase2-batch-l: path 非 NULL 規約を明記
skia/capi/sk_path_2d_path_effect.cpp,done,P2,codex,phase2-batch-l: matrix/path NULL ガードと null sk_sp handle 規約を補強
skia/capi/sk_path_2d_path_effect.h,done,P2,codex,phase2-batch-l: matrix/path 非 NULL 規約を明記
skia/capi/sk_path_builder.cpp,todo,P2,,
skia/capi/sk_path_builder.h,todo,P2,,
skia/capi/sk_path_effect.cpp,done,P2,codex,phase2-batch-l: NULL guards and null handle rules,
skia/capi/sk_path_effect.h,done,P2,codex,phase2-batch-l: serialize/filter/factory pointer rules,
skia/capi/sk_path_measure.cpp,done,P2,codex,phase2-batch-q: NULL guards for path measure APIs,
skia/capi/sk_path_measure.h,done,P2,codex,phase2-batch-q: path/output pointer comments,
skia/capi/sk_pdf.cpp,todo,P2,,
skia/capi/sk_pdf.h,todo,P2,,
skia/capi/sk_perlin_noise_shader.cpp,todo,P2,,
skia/capi/sk_perlin_noise_shader.h,todo,P2,,
skia/capi/sk_picture.cpp,todo,P2,,
skia/capi/sk_picture.h,todo,P2,,
skia/capi/sk_picture_recorder.cpp,todo,P2,,
skia/capi/sk_picture_recorder.h,todo,P2,,
skia/capi/sk_pixel_ref.cpp,todo,P2,,
skia/capi/sk_pixel_ref.h,todo,P2,,
skia/capi/sk_pixmap.cpp,todo,P2,,
skia/capi/sk_pixmap.h,todo,P2,,
skia/capi/sk_pixmap_utils.cpp,todo,P2,,
skia/capi/sk_pixmap_utils.h,todo,P2,,
skia/capi/sk_png_decoder.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_png_decoder.h,todo,P2,,
skia/capi/sk_png_encoder.cpp,todo,P2,,
skia/capi/sk_png_encoder.h,todo,P2,,
skia/capi/sk_point.cpp,todo,P2,,
skia/capi/sk_point.h,todo,P2,,
skia/capi/sk_point_3.cpp,todo,P2,,
skia/capi/sk_point_3.h,todo,P2,,
skia/capi/sk_r_rect.cpp,done,P2,codex,phase2-batch-e: SkRRect NULL ガードと memory/borrowed pointer 規約を補強
skia/capi/sk_r_rect.h,done,P2,codex,phase2-batch-e: SkRRect buffer/radii/borrowed pointer コメントを補強
skia/capi/sk_raster_handle_allocator.cpp,todo,P2,,
skia/capi/sk_raster_handle_allocator.h,todo,P2,,
skia/capi/sk_raw_decoder.cpp,todo,P2,,
skia/capi/sk_raw_decoder.h,todo,P2,,
skia/capi/sk_read_buffer.cpp,todo,P2,,
skia/capi/sk_read_buffer.h,todo,P2,,
skia/capi/sk_rect.cpp,done,P2,codex,phase2-batch-e: SkRect NULL ガードを accessor/mutator/static factory に横展開
skia/capi/sk_rect.h,done,P2,codex,phase2-batch-e: SkRect output/raw array/borrowed scalar コメントを補強
skia/capi/sk_ref_cnt.cpp,todo,P2,,
skia/capi/sk_ref_cnt.h,todo,P2,,
skia/capi/sk_ref_cnt_base.cpp,todo,P2,,
skia/capi/sk_ref_cnt_base.h,todo,P2,,
skia/capi/sk_region.cpp,todo,P2,,
skia/capi/sk_region.h,todo,P2,,
skia/capi/sk_rsx_form.cpp,todo,P2,,
skia/capi/sk_rsx_form.h,todo,P2,,
skia/capi/sk_runtime_blend_builder.cpp,todo,P2,,
skia/capi/sk_runtime_blend_builder.h,todo,P2,,
skia/capi/sk_runtime_color_filter_builder.cpp,todo,P2,,
skia/capi/sk_runtime_color_filter_builder.h,todo,P2,,
skia/capi/sk_runtime_effect.cpp,todo,P2,,
skia/capi/sk_runtime_effect.h,todo,P2,,
skia/capi/sk_runtime_effect_builder.cpp,todo,P2,,
skia/capi/sk_runtime_effect_builder.h,todo,P2,,
skia/capi/sk_runtime_shader_builder.cpp,todo,P2,,
skia/capi/sk_runtime_shader_builder.h,todo,P2,,
skia/capi/sk_sampling_options.cpp,todo,P2,,
skia/capi/sk_sampling_options.h,todo,P2,,
skia/capi/sk_shader.cpp,todo,P2,,
skia/capi/sk_shader.h,todo,P2,,
skia/capi/sk_shader_mask_filter.cpp,todo,P2,,
skia/capi/sk_shader_mask_filter.h,todo,P2,,
skia/capi/sk_shaders.cpp,todo,P2,,
skia/capi/sk_shaders.h,todo,P2,,
skia/capi/sk_size.cpp,todo,P2,,
skia/capi/sk_size.h,todo,P2,,
skia/capi/sk_stream.cpp,done,P2,codex,phase2-batch-h: SkStream NULL ガードと read/peek/output pointer 規約を補強
skia/capi/sk_stream.h,done,P2,codex,phase2-batch-h: SkStream read/peek/memory-base コメントを補強
skia/capi/sk_stream_asset.cpp,done,P2,codex,phase2-batch-j: SkStreamAsset NULL ガードと read/peek/file 規約を補強
skia/capi/sk_stream_asset.h,done,P2,codex,phase2-batch-j: SkStreamAsset read/peek/memory-base コメントを補強
skia/capi/sk_stream_memory.cpp,done,P2,codex,phase2-batch-j: SkStreamMemory NULL ガードと read/peek/typed read 規約を補強
skia/capi/sk_stream_memory.h,done,P2,codex,phase2-batch-j: SkStreamMemory read/peek/memory-base コメントを補強
skia/capi/sk_stream_rewindable.cpp,done,P2,codex,phase2-batch-j: SkStreamRewindable NULL ガードと read/peek/position 規約を補強
skia/capi/sk_stream_rewindable.h,done,P2,codex,phase2-batch-j: SkStreamRewindable read/peek/memory-base コメントを補強
skia/capi/sk_stream_seekable.cpp,done,P2,codex,phase2-batch-j: SkStreamSeekable NULL ガードと read/peek/position 規約を補強
skia/capi/sk_stream_seekable.h,done,P2,codex,phase2-batch-j: SkStreamSeekable read/peek/memory-base コメントを補強
skia/capi/sk_string.cpp,todo,P2,,
skia/capi/sk_string.h,todo,P2,,
skia/capi/sk_stroke_rec.cpp,todo,P2,,
skia/capi/sk_stroke_rec.h,todo,P2,,
skia/capi/sk_surface.cpp,done,P2,codex,stability Phase 2 Batch A: surface C API implementation reviewed; null inputs now fail as no-op/false/0/nullptr and borrowed parent pointers are guarded
skia/capi/sk_surface.h,done,P2,codex,stability Phase 2 Batch A: surface C API ownership/lifetime reviewed; header documents retained/owned/borrowed APIs for core surface accessors
skia/capi/sk_surface_props.cpp,todo,P2,,
skia/capi/sk_surface_props.h,todo,P2,,
skia/capi/sk_surfaces.cpp,todo,P2,,
skia/capi/sk_surfaces.h,todo,P2,,
skia/capi/sk_table_mask_filter.cpp,todo,P2,,
skia/capi/sk_table_mask_filter.h,todo,P2,,
skia/capi/sk_text_blob.cpp,todo,P2,,
skia/capi/sk_text_blob.h,todo,P2,,
skia/capi/sk_text_blob_builder.cpp,todo,P2,,
skia/capi/sk_text_blob_builder.h,todo,P2,,
skia/capi/sk_text_blob_builder_run_handler.cpp,todo,P2,,
skia/capi/sk_text_blob_builder_run_handler.h,todo,P2,,
skia/capi/sk_tiled_image_utils.cpp,todo,P2,,
skia/capi/sk_tiled_image_utils.h,todo,P2,,
skia/capi/sk_trace_memory_dump.cpp,todo,P2,,
skia/capi/sk_trace_memory_dump.h,todo,P2,,
skia/capi/sk_trim_path_effect.cpp,done,P2,codex,phase2-batch-l: null sk_sp handle 規約と NULL delete no-op を補強
skia/capi/sk_trim_path_effect.h,done,P2,codex,phase2-batch-l: factory の生成不能時 0 規約を明記
skia/capi/sk_typeface.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_typeface.h,todo,P2,,
skia/capi/sk_typeface_mac.cpp,todo,P2,,
skia/capi/sk_typeface_mac.h,todo,P2,,
skia/capi/sk_un_pre_multiply.cpp,todo,P2,,
skia/capi/sk_un_pre_multiply.h,todo,P2,,
skia/capi/sk_v2.cpp,todo,P2,,
skia/capi/sk_v2.h,todo,P2,,
skia/capi/sk_v3.cpp,todo,P2,,
skia/capi/sk_v3.h,todo,P2,,
skia/capi/sk_v4.cpp,todo,P2,,
skia/capi/sk_v4.h,todo,P2,,
skia/capi/sk_vertices.cpp,todo,P2,,
skia/capi/sk_vertices.h,todo,P2,,
skia/capi/sk_w_stream.cpp,done,P2,codex,phase2-batch-i: SkWStream NULL ガードと write/writeStream 規約を補強
skia/capi/sk_w_stream.h,done,P2,codex,phase2-batch-i: SkWStream raw buffer/text/stream transfer コメントを補強
skia/capi/sk_wbmp_decoder.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_wbmp_decoder.h,todo,P2,,
skia/capi/sk_webp_decoder.cpp,done,phase1,codex,step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化
skia/capi/sk_webp_decoder.h,todo,P2,,
skia/capi/sk_webp_encoder.cpp,todo,P2,,
skia/capi/sk_webp_encoder.h,todo,P2,,
skia/capi/sk_write_buffer.cpp,todo,P2,,
skia/capi/sk_write_buffer.h,todo,P2,,
skia/capi/sk_yuva_info.cpp,todo,P2,,
skia/capi/sk_yuva_info.h,todo,P2,,
skia/capi/sk_yuva_pixmap_info.cpp,todo,P2,,
skia/capi/sk_yuva_pixmap_info.h,todo,P2,,
skia/capi/sk_yuva_pixmaps.cpp,todo,P2,,
skia/capi/sk_yuva_pixmaps.h,todo,P2,,
